品牌,车型,价格,续航(km),电池容量(kWh),用户评分
一汽奥迪,奥迪A3,16.59-20.99万,,,4.44
一汽奥迪,奥迪A4L,28.98-36.28万,,,4.41
一汽奥迪,奥迪A5L,25.58-34.68万,,,4.55
一汽奥迪,奥迪A6L,32.29-55.89万,,,4.55
一汽奥迪,奥迪A6L e-tron,30.98-43.98万,,,4.57
一汽奥迪,奥迪Q2L,17.18-21.00万,,,4.50
一汽奥迪,奥迪Q3,25.18-29.68万,,,4.14
一汽奥迪,奥迪Q6L e-tron,36.98-39.98万,,,4.58
一汽奥迪,奥迪Q3 Sportback,26.38-30.18万,,,4.29
一汽奥迪,奥迪Q4 e-tron,28.99-36.71万,,,4.58
一汽奥迪,奥迪Q5L,30.98-39.98万,,,4.55
一汽奥迪,奥迪Q5L Sportback,37.98-42.98万,,,4.71
一汽奥迪,奥迪Q6L Sportback e-tron,29.98-41.98万,,,4.42
一汽奥迪,奥迪A4,暂无,,,4.04
一汽奥迪,奥迪A6,暂无,,,4.21
一汽奥迪,奥迪A6L新能源,暂无,,,4.67
一汽奥迪,奥迪Q2L e-tron,暂无,,,4.00
一汽奥迪,奥迪Q4,暂无,,,1
一汽奥迪,奥迪Q5,暂无,,,4.28
一汽奥迪,奥迪e-tron,暂无,,,4.53
一汽奥迪,奥迪A5L Sportback,27.99-39.99万,,,4.50
一汽奥迪,奥迪A7L,41.87-66.62万,,,4.48
一汽奥迪,奥迪Q5 e-tron,29.85-43.25万,,,4.71
一汽奥迪,奥迪Q6,46.76-61.06万,,,4.38
一汽奥迪,奥迪Concept Shanghai,暂无,,,1
一汽奥迪,奥迪A4(进口),35.98-43.08万,,,3.71
一汽奥迪,奥迪A5(进口),37.98-49.88万,,,4.43
一汽奥迪,奥迪S4,48.88-52.18万,,,4.14
一汽奥迪,奥迪S5,63.18-70.88万,,,4.57
一汽奥迪,奥迪A6(进口),50.68-61.39万,,,4.07
一汽奥迪,奥迪S6,85.88-85.88万,,,4.14
一汽奥迪,奥迪A7,58.98-78.88万,,,4.57
一汽奥迪,奥迪S7,103.28-103.28万,,,4.86
一汽奥迪,奥迪A8,78.98-207.68万,,,4.43
一汽奥迪,奥迪S8,207.68-207.68万,,,4.56
一汽奥迪,奥迪SQ5,59.88-59.88万,,,4.57
一汽奥迪,奥迪SQ5 Sportback,63.88-63.88万,,,3.86
一汽奥迪,奥迪Q7,60.98-80.48万,,,4.38
一汽奥迪,奥迪Q8,78.68-108.48万,,,4.65
一汽奥迪,奥迪SQ7,109.88-116.98万,,,10
一汽奥迪,奥迪SQ8,113.98-113.98万,,,
一汽奥迪,奥迪A2 e-tron,暂无,,,
一汽奥迪,奥迪A3(进口),暂无,,,
一汽奥迪,奥迪A3新能源(进口),暂无,,,
一汽奥迪,奥迪S1 e-tron,暂无,,,
一汽奥迪,奥迪S3,暂无,,,
一汽奥迪,奥迪A5新能源,暂无,,,
一汽奥迪,activesphere,暂无,,,
一汽奥迪,grandsphere,暂无,,,
一汽奥迪,奥迪A6新能源(进口),暂无,,,
一汽奥迪,奥迪A7新能源,暂无,,,
一汽奥迪,奥迪S6 e-tron,暂无,,,
一汽奥迪,奥迪A8新能源,暂无,,,
一汽奥迪,AI:TRAIL quattro,暂无,,,
一汽奥迪,奥迪Q2,暂无,,,
一汽奥迪,奥迪SQ2,暂无,,,
一汽奥迪,奥迪Q3 Sportback 新能源(进口),暂无,,,
一汽奥迪,奥迪Q3 Sportback(进口),暂无,,,
一汽奥迪,奥迪Q3(进口),暂无,,,
一汽奥迪,奥迪Q3新能源(进口),暂无,,,
一汽奥迪,奥迪Q4 e-tron(进口),暂无,,,
一汽奥迪,奥迪Q5 Sportback(海外),暂无,,,
一汽奥迪,奥迪Q5(进口),暂无,,,
一汽奥迪,奥迪Q5新能源(进口),暂无,,,
一汽奥迪,奥迪Q6 e-tron(海外),暂无,,,
一汽奥迪,奥迪SQ6 e-tron,暂无,,,
一汽奥迪,奥迪Q7新能源,暂无,,,
一汽奥迪,奥迪Q8 e-tron,暂无,,,
一汽奥迪,奥迪Q8 e-tron Sportback,暂无,,,
一汽奥迪,奥迪Q8新能源,暂无,,,
一汽奥迪,奥迪SQ8 e-tron,暂无,,,
一汽奥迪,奥迪SQ8 e-tron Sportback,暂无,,,
一汽奥迪,奥迪Q9,暂无,,,
一汽奥迪,urbansphere,暂无,,,
一汽奥迪,奥迪TT,暂无,,,
一汽奥迪,奥迪TTS,暂无,,,
一汽奥迪,Nuvolari,暂无,,,
一汽奥迪,skysphere,暂无,,,
一汽奥迪,奥迪Concept C,暂无,,,
一汽奥迪,奥迪A0,暂无,,,
一汽奥迪,奥迪Urban,暂无,,,
一汽奥迪,奥迪A1,暂无,,,
一汽奥迪,奥迪A2,暂无,,,
一汽奥迪,奥迪S1,暂无,,,
一汽奥迪,e-tron Concept,暂无,,,
一汽奥迪,奥迪80,暂无,,,
一汽奥迪,奥迪AI:ME,暂无,,,
一汽奥迪,奥迪Coupe,暂无,,,
一汽奥迪,奥迪100,暂无,,,
一汽奥迪,奥迪Aicon,暂无,,,
一汽奥迪,奥迪e-tron GT,暂无,,,
一汽奥迪,Prologue,暂无,,,
一汽奥迪,奥迪A9,暂无,,,
一汽奥迪,allroad,暂无,,,
一汽奥迪,Crosslane Coupe,暂无,,,
一汽奥迪,奥迪Cross,暂无,,,
一汽奥迪,奥迪Q4(进口),暂无,,,
一汽奥迪,奥迪TT offroad,暂无,,,
一汽奥迪,h-tron quattro,暂无,,,
一汽奥迪,奥迪Elaine,暂无,,,
一汽奥迪,奥迪e-tron(进口),暂无,,,
一汽奥迪,e-tron Vision Gran Turismo,暂无,,,
一汽奥迪,Nanuk,暂无,,,
一汽奥迪,quattro,暂无,,,
一汽奥迪,奥迪PB18,暂无,,,
一汽奥迪,奥迪R18,暂无,,,
一汽奥迪,奥迪RS 4,82.88-82.88万,,,
一汽奥迪,奥迪RS 5,85.28-87.48万,,,
一汽奥迪,奥迪RS 6,145.38-190.66万,,,
一汽奥迪,奥迪RS 7,146.88-146.88万,,,
一汽奥迪,奥迪RS Q8,146.89-172.48万,,,
一汽奥迪,奥迪RS 3,暂无,,,
一汽奥迪,奥迪RS Q3,暂无,,,
一汽奥迪,奥迪RS Q5,暂无,,,
一汽奥迪,奥迪RS Q6 e-tron,暂无,,,
一汽奥迪,奥迪RS Q e-tron,暂无,,,
一汽奥迪,奥迪R8,暂无,,,
一汽奥迪,奥迪TT RS,暂无,,,
一汽奥迪,奥迪RS e-tron GT,暂无,,,
一汽奥迪,AION N60,暂无,,,
一汽奥迪,AION UT super,8.99-8.99万,,,
一汽奥迪,AION UT,6.98-10.18万,,,
一汽奥迪,AION S MAX,11.88-19.16万,,,
一汽奥迪,AION RT,9.98-16.58万,,,
一汽奥迪,AION S,13.98-13.98万,,,
一汽奥迪,AION S Plus,11.88-15.68万,,,
一汽奥迪,AION i60,10.28-13.58万,,,
一汽奥迪,AION V,10.98-19.36万,,,
一汽奥迪,AION Y,9.98-14.58万,,,
一汽奥迪,AION LX,28.66-46.96万,,,
一汽奥迪,TIME,暂无,,,
一汽奥迪,广汽新能源2ALL,暂无,,,
一汽奥迪,广汽新能源2U,暂无,,,
一汽奥迪,广汽新能源2US,暂无,,,
一汽奥迪,传祺GA3S PHEV,暂无,,,
一汽奥迪,Enverge,暂无,,,
一汽奥迪,传祺GE3,暂无,,,
一汽奥迪,ENTRANZE,暂无,,,
一汽奥迪,AION AY5,暂无,,,
一汽奥迪,阿斯顿·马丁DBX,196.80-328.80万,,,
一汽奥迪,V8 Vantage,185.80-223.80万,,,
一汽奥迪,Vanquish,499.80-561.80万,,,
一汽奥迪,Valhalla,1068.80-1178.80万,,,
一汽奥迪,阿斯顿·马丁DB12,268.80-461.60万,,,
一汽奥迪,Valiant,3052.50-3052.50万,,,
一汽奥迪,阿斯顿·马丁DB11,235.80-245.80万,,,
一汽奥迪,阿斯顿·马丁DBS,400.80-410.80万,,,
一汽奥迪,V12 Vantage,暂无,,,
一汽奥迪,V12 SPEEDSTER,暂无,,,
一汽奥迪,Valour,暂无,,,
一汽奥迪,Valkyrie LM,暂无,,,
一汽奥迪,Victor,暂无,,,
一汽奥迪,阿斯顿·马丁DBR22,暂无,,,
一汽奥迪,战神,暂无,,,
一汽奥迪,Cygnet,暂无,,,
一汽奥迪,Rapide,暂无,,,
一汽奥迪,Rapide E,暂无,,,
一汽奥迪,拉共达Taraf,暂无,,,
一汽奥迪,阿斯顿·马丁DB9,暂无,,,
一汽奥迪,Heritage EV,暂无,,,
一汽奥迪,Ulster,暂无,,,
一汽奥迪,V12 Zagato,暂无,,,
一汽奥迪,Virage,暂无,,,
一汽奥迪,Vulcan,暂无,,,
一汽奥迪,阿斯顿·马丁CC100,暂无,,,
一汽奥迪,阿斯顿·马丁DB4,暂无,,,
一汽奥迪,阿斯顿·马丁DB10,暂无,,,
一汽奥迪,阿斯顿·马丁DB5,暂无,,,
一汽奥迪,阿斯顿·马丁DB6,暂无,,,
一汽奥迪,阿斯顿·马丁DP-100,暂无,,,
一汽奥迪,阿斯顿·马丁One-77,暂无,,,
一汽奥迪,阿维塔07 L,暂无,,,
一汽奥迪,阿维塔06,20.99-27.99万,,,
一汽奥迪,阿维塔12,26.99-70.00万,,,
一汽奥迪,阿维塔07,21.99-28.99万,,,
一汽奥迪,阿维塔11,28.99-42.99万,,,
一汽奥迪,阿维塔XPECTRA,暂无,,,
一汽奥迪,Giulia朱丽叶,35.30-89.98万,,,
一汽奥迪,Junior,暂无,,,
一汽奥迪,Junior新能源,暂无,,,
一汽奥迪,Tonale托纳利新能源,暂无,,,
一汽奥迪,33 Stradale,暂无,,,
一汽奥迪,阿尔法·罗密欧4C,暂无,,,
一汽奥迪,MiTo,暂无,,,
一汽奥迪,Giulietta,暂无,,,
一汽奥迪,阿尔法·罗密欧147,暂无,,,
一汽奥迪,阿尔法·罗密欧156,暂无,,,
一汽奥迪,阿尔法·罗密欧159,暂无,,,
一汽奥迪,阿尔法·罗密欧166,暂无,,,
一汽奥迪,Tonale托纳利,暂无,,,
一汽奥迪,Stelvio斯坦维,暂无,,,
一汽奥迪,2uettottanta,暂无,,,
一汽奥迪,Disco Volante,暂无,,,
一汽奥迪,Gloria,暂无,,,
一汽奥迪,阿尔法·罗密欧8C,暂无,,,
一汽奥迪,阿尔法·罗密欧G1,暂无,,,
一汽奥迪,阿尔法·罗密欧GT,暂无,,,
一汽奥迪,阿尔法·罗密欧S.Z.,暂无,,,
一汽奥迪,阿尔法·罗密欧TZ3,暂无,,,
一汽奥迪,爱驰U5,暂无,,,
